family,family_common_name,scientific_name,classification,iucn_classification,assessment_date,iucn_assessment_date,authority,authority_link,species_link
Aphaniidae,Eurasian Killifish,Aphanius isfahanensis CEN Feb-2023 RP,CEN,,Feb-2023,,RP,https://caresforfish.org/?page_id=475,https://caresforfish.org/?page_id=475
Aphaniidae,Eurasian Killifish,Aphanius kruppi CNT Feb-2023 RP,CNT,,Feb-2023,,RP,https://caresforfish.org/?page_id=475,https://caresforfish.org/?page_id=475
Aphaniidae,Eurasian Killifish,Aphanius maeandricus,CNT,,Feb-2023,,RP,https://caresforfish.org/?page_id=475,
Aphaniidae,Eurasian Killifish,Aphanius mento ‘mentoides’ CNT Feb-2023 RP,CNT,,Feb-2023,,RP,https://caresforfish.org/?page_id=475,https://caresforfish.org/?page_id=475
Aphaniidae,Eurasian Killifish,Aphanius mento ‘similis’,CCR,,Feb-2023,,RP,https://caresforfish.org/?page_id=475,
Aphaniidae,Eurasian Killifish,Aphanius saourensis CEW (CR) Feb-2023 (——–) RP (IUCN),CEW,CR,Feb-2023,,RP,https://caresforfish.org/?page_id=475,https://caresforfish.org/?page_id=475
Aphaniidae,Eurasian Killifish,Aphanius sirhani CR (CCR) ——– (Feb-2023) IUCN ( RP ),CR,CCR,"——–
(Feb-2023)",,RP,https://caresforfish.org/?page_id=475,https://caresforfish.org/?page_id=475
Aphaniidae,Eurasian Killifish,Aphanius vladykovi,CEN,,Feb-2023,,RP,https://caresforfish.org/?page_id=475,
Aplocheilidae,Killifish,Campellolebias dorsimaculatus,CVU,CR,Jul-2017,Nov-2018,RP / (IUCN),https://caresforfish.org/?page_id=475,
Aplocheilidae,Killifish,Nematolebias whitei,CVU,EN,Jul-2017,May-2022,RP,https://caresforfish.org/?page_id=475,
Aplocheilidae,Killifish,Pachypanchax arnoulti,VU,,Jun-2016,,IUCN,,
Aplocheilidae,Killifish,Pachypanchax omalonotus,CVU,EN,Sep-2004,Jun-2016,PVL / (IUCN),,
Aplocheilidae,Killifish,Pachypanchax patriciae,CVU,EN,Sep-2004,Jun-2016,PVL / (IUCN),,
Aplocheilidae,Killifish,Pachypanchax sakaramyi,EN,,Jun-2016,,IUCN,,
Aplocheilidae,Killifish,Pachypanchax sparksorum,CVU,EN,Sep-2004,Jun-2016,PVL / (IUCN),,
Aplocheilidae,Killifish,Pachypanchax varatraza,CVU,EN,Sep-2004,Jun-2016,PVL / (IUCN),,
Aplocheilidae,Killifish,Pachypanchax,CVU,,Sep-2004,,PVL,,
Aplocheilidae,Killifish,Pachypanchax,CVU,,Sep-2004,,PVL,,
Aplocheilidae,Killifish,Pachypanchax,CVU,,Sept-2004,,PVL,,
