Scientific_Name,Common_Name,Vendor,Product_Type,Tags,URL,Source,Found_In_Multiple_Sources
Echinodorus red,Echinodorus Red Phoenix,CPA,Aquatic Plant,aquarium plants; Availability_In Stock; Collection_Aquarium Plants; instock; Light_Medium; limited quantity; Price_5.00-15.99,https://buceplant.com/products/echinodorus-red-phoenix,Buce Plant,Yes
Echinodorus red,Echinodorus Red Diamond UNS Tissue Culture,UNSTC,Aquatic Plant,aquarium plants; Availability_In Stock; Collection_Aquarium Plants; Collection_Tissue Culture; instock; Light_Medium; limited quantity; Price_5.00-15.99; tissue culture,https://buceplant.com/products/echinodorus-red-diamond-uns-tissue-culture,Buce Plant,Yes
Echinodorus red,Echinodorus Red Wild Grass,CPA,Aquatic Plant,Aquarium Plant; aquarium plants; Aquatic Plants; Availability_In Stock; Background; Care_Easy; Collection_Aquarium Plants; Echinodorus; instock; Light_Low; Light_Medium; limited quantity; Low Tech; Origin_Africa; Price_5.00-15.99,https://buceplant.com/products/echinodorus-red-wild-grass,Buce Plant,Yes
Echinodorus red,Echinodorus Red Devil,CPA,Aquatic Plant,Aquarium Plant; aquarium plants; Aquatic Plants; Availability_In Stock; Background; Care_Easy; Collection_Aquarium Plants; Echinodorus; instock; Light_Low; Light_Medium; limited quantity; Low Tech; Origin_South America; Price_5.00-15.99,https://buceplant.com/products/echinodorus-red-devil,Buce Plant,Yes
Echinodorus red,Echinodorus Red Rubin,ACW,Aquatic Plant,Aquarium Plant; aquarium plants; Aquatic Plants; arrival; Background; Care_Easy; Collection_Aquarium Plants; Echinodorus; hot; Light_Low; Light_Medium; Low Tech; oos; Origin_Cultivar; Price_16.00-24.99; Price_25.00-39.99; Price_5.00-15.99; red aquarium plants; red plant,https://buceplant.com/products/echinodorus-red-rubin,Buce Plant,Yes
Echinodorus red,Echinodorus Red Rubin Mother Pot,CPA,Aquatic Plant,Aquarium Plant; aquarium plants; Aquatic Plants; Background; Care_Easy; Collection_Aquarium Plants; Echinodorus; Light_Low; Light_Medium; Low Tech; Mother Pots; mother's day deals; oos; Origin_Cultivar; Price_16.00-24.99,https://buceplant.com/products/echinodorus-red-rubin-mother-pot,Buce Plant,Yes
Echinodorus red,Echinodorus Red Flame,IS,Aquatic Plant,Aquarium Plant; aquarium plants; Aquatic Plants; Background; Care_Easy; Collection_Aquarium Plants; Echinodorus; Light_Low; Light_Medium; Low Tech; oos; Origin_Africa; Price_16.00-24.99; Price_25.00-39.99; Price_5.00-15.99,https://buceplant.com/products/echinodorus-red-flame,Buce Plant,Yes
Echinodorus reni,Echinodorus Reni,Aquarium Plants Factory,,Buy 2 Get 1 Free; Echinodorus,https://aquariumplantsfactory.com/products/echinodorus-reni,Aquarium Plants Factory,Yes
Echinodorus reni,Echinodorus Reni Vitro Culture,Aquarium Plants Factory,Tissue Culture Plants,Echinodorus; In Vitro Tissue Culture,https://aquariumplantsfactory.com/products/echinodorus-reni-in-vitro,Aquarium Plants Factory,Yes
Echinodorus reni,Echinodorus Reni UNS Tissue Culture,UNSTC,Aquatic Plant,aquarium plant; Aquarium Plants; Availability_In Stock; Care_Easy; Collection_Aquarium Plants; Collection_Tissue Culture; Echinodorus; instock; Light_Medium; Origin_South America; Price_5.00-15.99; TC; Tissue Culture,https://buceplant.com/products/echinodorus-reni-uns-tissue-culture,Buce Plant,Yes
Echinodorus reni,Echinodorus Reni,CPA,Aquatic Plant,Aquarium Plant; aquarium plants; Availability_In Stock; background; Care_Easy; Collection_Aquarium Plants; Echinodorus; instock; Light_Low; Light_Medium; limited quantity; Low Tech; Midground; Origin_South America; Price_5.00-15.99,https://buceplant.com/products/echinodorus-reni,Buce Plant,Yes
Echinodorus rose,Echinodorus Rose Vitro Culture,Aquarium Plants Factory,,Echinodorus; In Vitro Tissue Culture,https://aquariumplantsfactory.com/products/echinodorus-rose-vitro-culture,Aquarium Plants Factory,Yes
Echinodorus rose,Echinodorus Rose,ACW,Aquatic Plant,Aquarium Plant; aquarium plants; Aquatic Plants; Background; Care_Easy; Collection_Aquarium Plants; Echinodorus; Light_Low; Light_Medium; Low Tech; Midground; oos; Origin_North America; Origin_South America; Price_5.00-15.99; red aquarium plants; red plant,https://buceplant.com/products/echinodorus-rose,Buce Plant,Yes
Echinodorus rose,Echinodorus Rose Tissue Culture,UNSTC,Aquatic Plant,Aquarium Plant; aquarium plants; Aquatic Plants; Background; Care_Easy; Collection_Aquarium Plants; Collection_Tissue Culture; Echinodorus; Light_Low; Light_Medium; oos; Origin_Africa; Price_5.00-15.99; red aquarium plants; red plant; Tissue Culture,https://buceplant.com/products/echinodorus-rose-tissue-culture,Buce Plant,Yes
Echinodorus small,Echinodorus Small Bear,Aquarium Plants Factory,,Buy 2 Get 1 Free; Echinodorus,https://aquariumplantsfactory.com/products/echinodorus-small-bear,Aquarium Plants Factory,Yes
Echinodorus small,Echinodorus Small Bear Vitro Culture,Aquarium Plants Factory,Tissue Culture Plants,Echinodorus; Freshwater; In Vitro Tissue Culture; Rare Plants; Red Aquatic Plants Collection,https://aquariumplantsfactory.com/products/echinodorus-small-bear-in-vitro,Aquarium Plants Factory,Yes
Echinodorus uruguayensis,Echinodorus Uruguayensis,Aquarium Plants Factory,,Aquarius; Buy 2 Get 1 Free; Echinodorus,https://aquariumplantsfactory.com/products/aquarius-uruguayensis,Aquarium Plants Factory,Yes
Echinodorus uruguayensis,Echinodorus Uruguayensis Vitro Culture,Aquarium Plants Factory,,Echinodorus; In Vitro Tissue Culture,https://aquariumplantsfactory.com/products/echinodorus-uruguayensis-vitro-culture,Aquarium Plants Factory,Yes
Echinodorus uruguayensis,Echinodorus Uruguayensis Variegated,CPA,Aquatic Plant,aquarium plants; Collection_Aquarium Plants; Light_Medium; oos; Price_5.00-15.99,https://buceplant.com/products/echinodorus-uruguayensis-variegated,Buce Plant,Yes
Echinodorus xinguensis,Echinodorus Xinguensis,ACW,Aquatic Plant,Aquarium Plant; Aquarium Plants; Aquatic Plants; Background; Care_Easy; Collection_Aquarium Plants; Echinodorus; Light_Low; Light_Medium; Low Tech; Midground; oos; Origin_North America; Price_16.00-24.99; Price_5.00-15.99,https://buceplant.com/products/echinodorus-xinguensis,Buce Plant,No
Echinodorus yellow,Echinodorus Yellow Sun,Aquarium Plants Factory,,Buy 2 Get 1 Free; Echinodorus; Free Shipping; Freshwater; Rare Plants,https://aquariumplantsfactory.com/products/echinodorus-yellow-sun,Aquarium Plants Factory,Yes
Echinodorus yellow,Echinodorus Yellow Sun,ACW,Aquatic Plant,Aquarium Plant; aquarium plants; Availability_In Stock; Care_Easy; Collection_Aquarium Plants; instock; Light_Medium; Price_5.00-15.99,https://buceplant.com/products/echinodorus-yellow-sun,Buce Plant,Yes
Echinodorus yeni,Echinodorus Yeni,CPA,Aquatic Plant,Aquarium Plant; aquarium plants; Aquatic Plants; Background; Care_Easy; Collection_Aquarium Plants; Echinodorus; Light_Low; Light_Medium; Low Tech; oos; Price_5.00-15.99,https://buceplant.com/products/echinodorus-yeni-1,Buce Plant,No
Egeria densa,Egeria Densa,ACW,Aquatic Plant,aquarium plant; aquarium plants; Aquatic Plants; Availability_In Stock; Availability_On SALE; background; beginner; bunch; Care_Easy; Collection_Aquarium Plants; hot; instock; Light_Low; Light_Medium; Midground; mother's day deals; Origin_South America; Price_0.99-4.99; Price_16.00-24.99; Price_5.00-15.99; Stem Plant,https://buceplant.com/products/elodea-densa,Buce Plant,No
Elatine hydropiper,Elatine Hydropiper Tissue Culture,ASA,Aquatic Plant,aquarium plant; aquarium plants; Aquatic Plants; Care_Medium; carpeting; Collection_Aquarium Plants; Collection_Tissue Culture; Foreground; Light_High; Light_Medium; oos; Other_Rare; Price_5.00-15.99; tissue culture,https://buceplant.com/products/elatine-hydropiper-tissue-culture,Buce Plant,No
Eleocharis acicularis,Eleocharis Acicularis,Aquarium Plants Factory,,Buy 2 Get 1 Free; Eleocharis; Freshwater,https://aquariumplantsfactory.com/products/eleocharis-acicularis,Aquarium Plants Factory,Yes
Eleocharis acicularis,Eleocharis Acicularis Vitro Culture,Aquarium Plants Factory,Tissue Culture Plants,Eleocharis; Freshwater; In Vitro Tissue Culture,https://aquariumplantsfactory.com/products/eleocharis-acicularis-in-vitro,Aquarium Plants Factory,Yes
Eleocharis belem,Eleocharis Belem Aquatic Farmer Tissue Culture,Aquatic Farmer,Aquatic Plant,aquarium plant; Aquarium Plants; Aquatic Plants; Availability_In Stock; Brand_Aquatic Farmer; Buce Friday; Care_Easy; carpeting; Collection_Aquarium Plants; Collection_Tissue Culture; foreground; instock; Light_High; Light_Medium; Origin_Cosmopolitan; Price_5.00-15.99; tissue culture,https://buceplant.com/products/eleocharis-belem-aquatic-farmer-tissue-culture,Buce Plant,No
Eleocharis parvula,Eleocharis Parvula 'Mini' Aquatic Farmer Tissue Culture,Aquatic Farmer,Aquatic Plant,aquarium plant; Aquarium Plants; Aquatic Plants; Brand_Aquatic Farmer; Care_Easy; carpeting; Collection_Aquarium Plants; Collection_Tissue Culture; Foreground; hot; Light_High; Light_Low; Light_Medium; oos; Origin_Cosmopolitan; Price_5.00-15.99; tissue culture,https://buceplant.com/products/eleocharis-parvula-mini-aquatic-farmer-tissue-culture,Buce Plant,No
Eleocharis pusilla,Eleocharis Pusilla Vitro Culture,Aquarium Plants Factory,Tissue Culture Plants,Eleocharis; Freshwater; In Vitro Tissue Culture,https://aquariumplantsfactory.com/products/eleocharis-pusilla-in-vitro-cup,Aquarium Plants Factory,Yes
Eleocharis pusilla,Eleocharis Pusilla 'Mini' Tissue Culture,Plants,Live Plants,brand_live_plant; Carpeting Plants; Foreground Plants; Live Plant; live-plants; Medium Light Plants; meta-related-article-foreground-plants; meta-related-article-how-to-plant; placement_foreground-plants; type_Tissue-Culture; USA_OK; wet_plant,https://aquariumcoop.com/products/eleocharis-pusilla-tissue-culture,Aquarium Co-Op,Yes
Eleocharis pusillis,Eleocharis Pusillis Aquatic Farmer Tissue Culture,Aquatic Farmer,Aquatic Plant,aquarium plant; aquarium plants; Aquatic Plants; Brand_Aquatic Farmer; Buce Friday; Care_Easy; carpeting; Collection_Aquarium Plants; Collection_Tissue Culture; foreground; Light_High; Light_Medium; oos; Origin_Cosmopolitan; Price_5.00-15.99; Start Your 2024 Scape; tissue culture,https://buceplant.com/products/eleocharis-pusillis-tissue-culture,Buce Plant,No
Eleocharis sp,Eleocharis sp. Mini Vitro Culture,Aquarium Plants Factory,Tissue Culture Plants,Eleocharis; In Vitro Tissue Culture,https://aquariumplantsfactory.com/products/eleocharis-sp-mini-in-vitro,Aquarium Plants Factory,No
Eleocharis vivipara,Eleocharis Vivipara,Aquarium Plants Factory,Mid-Ground / Background Plants,Buy 2 Get 1 Free; Eleocharis,https://aquariumplantsfactory.com/products/eleocharis-vivipara,Aquarium Plants Factory,Yes
Eleocharis vivipara,Eleocharis Vivipara Tissue Culture,UNSTC,Aquatic Plant,Aquarium Plant; Aquarium Plants; Aquatic Plants; background; Collection_Aquarium Plants; Collection_Tissue Culture; hairgrass; Light_Medium; oos; Price_5.00-15.99,https://buceplant.com/products/eleocharis-vivipara-tissue-culture,Buce Plant,Yes
Elodea najas,Elodea Najas,ACW,Aquatic Plant,aquarium plant; aquarium plants; Availability_In Stock; background; beginner; Care_Easy; Collection_Aquarium Plants; instock; Light_Low; Light_Medium; Origin_South America; Price_5.00-15.99; stem plant,https://buceplant.com/products/elodea-najas,Buce Plant,No
Ericocaulon ratnagiricum,Ericocaulon Ratnagiricum (Dwarf Baby Urchin),Aquarium Plants Factory,,Buy 2 Get 1 Free; Eriocaulon,https://aquariumplantsfactory.com/products/ericocaulon-ratnagiricum,Aquarium Plants Factory,No
Eriocaulon cinereum,Eriocaulon Cinereum,Aquarium Plants Factory,,Buy 2 Get 1 Free; Eriocaulon,https://aquariumplantsfactory.com/products/eriocaulon-cinereum,Aquarium Plants Factory,Yes
Eriocaulon cinereum,Eriocaulon Cinereum Vitro Culture,Aquarium Plants Factory,Tissue Culture Plants,Clearance; Eriocaulon; Freshwater; In Vitro Tissue Culture; Rare Plants; Sale,https://aquariumplantsfactory.com/products/eriocaulon-cinereum-in-vitro,Aquarium Plants Factory,Yes
Eriocaulon cinereum,Eriocaulon Cinereum UNS Tissue Culture,UNSTC,Aquatic Plant,Aquarium Plant; aquarium plants; Care_Difficult; Collection_Aquarium Plants; Collection_Tissue Culture; foreground; Light_High; oos; Origin_Asia; Other_Rare; Price_16.00-24.99,https://buceplant.com/products/eriocaulon-cinereum-tissue-culture,Buce Plant,Yes
Eriocaulon quinquangulare,Eriocaulon Quinquangulare,Aquarium Plants Factory,,Buy 2 Get 1 Free; Eriocaulon,https://aquariumplantsfactory.com/products/eriocaulon-quinquangulare,Aquarium Plants Factory,No
Eriocaulon sp,Eriocaulon sp Vietnam,IS,Aquatic Plant,Aquarium Plant; aquarium plants; Availability_In Stock; background; Buce Friday; Care_Difficult; Collection_Aquarium Plants; instock; Light_High; Midground; Origin_Asia; Other_Rare; Price_16.00-24.99,https://buceplant.com/products/eriocaulon-sp-vietnam,Buce Plant,No
Eriocaulon vietnam,Eriocaulon Vietnam,Aquarium Plants Factory,,Buy 2 Get 1 Free; Eriocaulon,https://aquariumplantsfactory.com/products/eriocaulon-sp-vietnam,Aquarium Plants Factory,No
Eusteralis stellata,Eusteralis Stellata / Pogostemon Stellatus,ACW,Aquatic Plant,aquarium plant; Aquarium Plants; arrival; background; beginner; Care_Easy; Collection_Aquarium Plants; Light_High; Light_Medium; Midground; oos; Origin_Asia; potted plant; Price_16.00-24.99; Price_5.00-15.99; red aquarium plants; red plant; Stem Plant,https://buceplant.com/products/eusteralis-stellata,Buce Plant,Yes
Eusteralis stellata,Eusteralis Stellata / Pogostemon Stellatus Aquatic Farmer Tissue Culture,Aquatic Farmer,Aquatic Plant,aquarium plants; Aquatic Plants; Brand_Aquatic Farmer; Care_Difficult; Collection_Aquarium Plants; Collection_Tissue Culture; Light_Medium; oos; Origin_Asia; Origin_Australia; Price_0.99-4.99; Price_5.00-15.99; tissue culture,https://buceplant.com/products/pogostemon-stellata-tissue-culture,Buce Plant,Yes
