
> mulm@1.0.0 script
> ts-node scripts/parse-nanfa-usa-species.ts

Parsing NANFA checklist...
Found 532 USA-native fish species

Scientific Name,Common Name,Family,Conservation Status
"Etheostoma tetrazonum","Missouri Saddled Darter","Percidae",""
"Etheostoma thalassinum","Seagreen Darter","Percidae",""
"Etheostoma thompsoni","Gumbo Darter","Percidae",""
"Etheostoma trisella","Trispot Darter","Percidae",""
"Etheostoma tuscumbia","Tuscumbia Darter","Percidae",""
"Etheostoma xanthovum","Clarks Darter","Percidae",""
"Etheostoma zonifer","Backwater Darter","Percidae",""
"Etheostoma zonistium","Bandfin Darter","Percidae",""
"Nothonotus aquali","Coppercheek Darter","Percidae",""
"Nothonotus chuckwachatte","Lipstick Darter","Percidae",""
"Nothonotus denoncourti","Golden Darter","Percidae",""
"Nothonotus douglasi","Tuskaloosa Darter","Percidae",""
"Nothonotus etowahae","Etowah Darter","Percidae",""
"Nothonotus microlepidus","Smallscale Darter","Percidae",""
"Nothonotus moorei","Yellowcheek Darter","Percidae",""
"Nothonotus ruber","Bayou Darter","Percidae",""
"Nothonotus starnesi","Caney Fork Darter","Percidae",""
"Nothonotus tippecanoe","Tippecanoe Darter","Percidae",""
"Nothonotus wapiti","Boulder Darter","Percidae",""
"Percina antesella","Amber Darter","Percidae",""
"Percina apina","Tennessee Logperch","Percidae",""
"Percina apristis","Guadalupe Darter","Percidae",""
"Percina aurolineata","Goldline Darter","Percidae",""
"Percina aurora","Pearl Darter","Percidae",""
"Percina brevicauda","Coal Darter","Percidae",""
"Percina brucethompsoni","Ouachita Darter","Percidae",""
"Percina caprodes fulvitaenia","Ozark Logperch","Percidae",""
"Percina carbonaria","Texas Logperch","Percidae",""
"Percina crassa","Piedmont Darter","Percidae",""
"Percina cymatotaenia","Bluestripe Darter","Percidae",""
"Percina evides evides","Gilt Darter","Percidae",""
"Percina kusha","Bridled Darter","Percidae",""
"Percina lenticula","Freckled Darter","Percidae",""
"Percina notogramma notogramma","Stripeback Darter","Percidae",""
"Percina notogramma montuosa","Mountain Stripeback Darter","Percidae",""
"Percina oxyrhynchus","Sharpnose Darter","Percidae",""
"Percina pantherina","Leopard Darter","Percidae",""
"Percina rex","Roanoke Logperch","Percidae",""
"Percina roanoka","Roanoke Darter","Percidae",""
"Percina sipsi","Bankhead Darter","Percidae",""
"Percina smithvanizi","Muscadine Darter","Percidae",""
"Percina squamata","Olive Darter","Percidae",""
"Percina stictogaster","Frecklebelly Darter","Percidae",""
"Percina uranidea","Stargazing Darter","Percidae",""
"Percina williamsi","Sickle Darter","Percidae",""
"Sander canadensis","Sauger","Percidae",""
"Elassoma boehlkei","Carolina Pygmy Sunfish","Elassomatidae",""
"Elassoma gilberti","Gulf Coast Pygmy Sunfish","Elassomatidae",""
"Elassoma okatie","Bluebarred Pygmy Sunfish","Elassomatidae",""
"Elassoma okefenokee","Okefenokee Pygmy Sunfish","Elassomatidae",""
"Amatitlania nigrofasciata","Convict Cichlid","Cichlidae",""
"Amphilophus citrinellus","Midas Cichlid","Cichlidae",""
"Amphilophus istlanus","Redside Cichlid","Cichlidae",""
"Amphilophus trimaculatus","Threespot Cichlid","Cichlidae",""
"Astatotilapia calliptera","Eastern Happy","Cichlidae",""
"Herichthys carpintis","Lowland Cichlid","Cichlidae",""
"Herichthys cyanoguttatus","Rio Grande Cichlid","Cichlidae",""
"Herichthys minckleyi","Cuatro Ci&eacute;negas Cichlid","Cichlidae",""
"Herichthys molango","Aztec Cichlid","Cichlidae",""
"Herichthys pantostictus","Chairel Cichlid","Cichlidae",""
"Herichthys steindachneri","Slender Cichlid","Cichlidae",""
"Herichthys tepehua","a-Ram&iacute;rez &amp; Doadrio 2015","Cichlidae",""
"Mayaheros urophthalmus","Mayan Cichlid","Cichlidae",""
"Parachromis managuensis","Jaguar Guapote","Cichlidae",""
"Rubricatochromis guttatus","Spotted Jewelfish","Cichlidae",""
"Sarotherodon melanotheron","Blackchin Tilapia","Cichlidae",""
"Trichromis salvini","Yellowbelly Cichlid","Cichlidae",""
"Vieja fenestrata","Blackstripe Cichlid","Cichlidae",""
"Gobiesox fluviatilis","Mountain Clingfish","Gobiesocidae",""
"Gobiesox juniperoserrai","Castro-Aguirre 1996; Peninsular Clingfish","Gobiesocidae",""
"Gobiesox mexicanus","Mexican Clingfish","Gobiesocidae",""
"Gobiomorus dormitor","Bigmouth Sleeper","Eleotridae",""
"Gobiomorus maculatus","Pacific Sleeper","Eleotridae",""
"Ctenogobius pseudofasciatus","Slashcheek Goby","Oxudercidae",""
"Ctenogobius shufeldti","Freshwater Goby","Oxudercidae",""
"Eucyclogobius kristinae","Southern Tidewater Goby","Oxudercidae",""
"Rhinogobius brunneus","Amur Goby","Oxudercidae",""
"Trinectes fonsecensis","Spottedfin Sole","Achiridae",""
"Trinectes maculatus","Hogchoker","Achiridae",""

✓ Exported 532 species to CSV format
